PowerConsumptionPredictionExperiment_23-03-2022_637836736985582487.txt
******Sequence Starting*****
cycle : 0 	 Accuracy :0 	 
Cycle: 18 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 1
cycle : 19 	 Accuracy :8.333333333333332 	 
cycle : 20 	 Accuracy :4.166666666666666 	 
Cycle: 21 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 1
Cycle: 22 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 2
cycle : 23 	 Accuracy :8.333333333333332 	 
cycle : 24 	 Accuracy :4.166666666666666 	 
Cycle: 25 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 1
Cycle: 26 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 2
Cycle: 27 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 3
Cycle: 28 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 4
cycle : 29 	 Accuracy :8.333333333333332 	 
cycle : 30 	 Accuracy :4.166666666666666 	 
cycle : 31 	 Accuracy :0 	 
cycle : 32 	 Accuracy :4.166666666666666 	 
Cycle: 33 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 1
cycle : 34 	 Accuracy :8.333333333333332 	 
cycle : 35 	 Accuracy :4.166666666666666 	 
Cycle: 36 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 1
Cycle: 37 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 2
Cycle: 38 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 3
cycle : 39 	 Accuracy :8.333333333333332 	 
cycle : 40 	 Accuracy :4.166666666666666 	 
Cycle: 41 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 1
Cycle: 42 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 2
Cycle: 43 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 3
Cycle: 44 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 4
Cycle: 45 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 5
Cycle: 46 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 6
cycle : 47 	 Accuracy :8.333333333333332 	 
cycle : 48 	 Accuracy :4.166666666666666 	 
Cycle: 49 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 1
****Sequence Ending*****
******Sequence Starting*****
cycle : 0 	 Accuracy :0 	 
cycle : 1 	 Accuracy :4.166666666666666 	 
Cycle: 2 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 1
Cycle: 3 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 2
cycle : 4 	 Accuracy :0 	 
cycle : 5 	 Accuracy :8.333333333333332 	 
Cycle: 6 	 Saturated Accuracy : 8.333333333333332 	 Number of times repeated 1
Cycle: 7 	 Saturated Accuracy : 8.333333333333332 	 Number of times repeated 2
Cycle: 8 	 Saturated Accuracy : 8.333333333333332 	 Number of times repeated 3
Cycle: 9 	 Saturated Accuracy : 8.333333333333332 	 Number of times repeated 4
cycle : 10 	 Accuracy :4.166666666666666 	 
Cycle: 11 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 1
Cycle: 12 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 2
Cycle: 13 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 3
Cycle: 14 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 4
Cycle: 15 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 5
Cycle: 16 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 6
Cycle: 17 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 7
Cycle: 18 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 8
Cycle: 19 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 9
Cycle: 20 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 10
Cycle: 21 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 11
Cycle: 22 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 12
Cycle: 23 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 13
Cycle: 24 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 14
Cycle: 25 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 15
Cycle: 26 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 16
Cycle: 27 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 17
Cycle: 28 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 18
Cycle: 29 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 19
Cycle: 30 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 20
Cycle: 31 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 21
Cycle: 32 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 22
Cycle: 33 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 23
Cycle: 34 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 24
Cycle: 35 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 25
Cycle: 36 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 26
Cycle: 37 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 27
Cycle: 38 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 28
Cycle: 39 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 29
Cycle: 40 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 30
Cycle: 41 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 31
Cycle: 42 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 32
Cycle: 43 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 33
Cycle: 44 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 34
Cycle: 45 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 35
Cycle: 46 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 36
Cycle: 47 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 37
Cycle: 48 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 38
Cycle: 49 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 39
****Sequence Ending*****
******Sequence Starting*****
cycle : 0 	 Accuracy :0 	 
cycle : 1 	 Accuracy :4.166666666666666 	 
cycle : 2 	 Accuracy :0 	 
cycle : 3 	 Accuracy :8.333333333333332 	 
Cycle: 4 	 Saturated Accuracy : 8.333333333333332 	 Number of times repeated 1
Cycle: 5 	 Saturated Accuracy : 8.333333333333332 	 Number of times repeated 2
Cycle: 6 	 Saturated Accuracy : 8.333333333333332 	 Number of times repeated 3
Cycle: 7 	 Saturated Accuracy : 8.333333333333332 	 Number of times repeated 4
Cycle: 8 	 Saturated Accuracy : 8.333333333333332 	 Number of times repeated 5
Cycle: 9 	 Saturated Accuracy : 8.333333333333332 	 Number of times repeated 6
Cycle: 10 	 Saturated Accuracy : 8.333333333333332 	 Number of times repeated 7
Cycle: 11 	 Saturated Accuracy : 8.333333333333332 	 Number of times repeated 8
Cycle: 12 	 Saturated Accuracy : 8.333333333333332 	 Number of times repeated 9
Cycle: 13 	 Saturated Accuracy : 8.333333333333332 	 Number of times repeated 10
Cycle: 14 	 Saturated Accuracy : 8.333333333333332 	 Number of times repeated 11
Cycle: 15 	 Saturated Accuracy : 8.333333333333332 	 Number of times repeated 12
Cycle: 16 	 Saturated Accuracy : 8.333333333333332 	 Number of times repeated 13
Cycle: 17 	 Saturated Accuracy : 8.333333333333332 	 Number of times repeated 14
Cycle: 18 	 Saturated Accuracy : 8.333333333333332 	 Number of times repeated 15
Cycle: 19 	 Saturated Accuracy : 8.333333333333332 	 Number of times repeated 16
Cycle: 20 	 Saturated Accuracy : 8.333333333333332 	 Number of times repeated 17
Cycle: 21 	 Saturated Accuracy : 8.333333333333332 	 Number of times repeated 18
Cycle: 22 	 Saturated Accuracy : 8.333333333333332 	 Number of times repeated 19
Cycle: 23 	 Saturated Accuracy : 8.333333333333332 	 Number of times repeated 20
Cycle: 24 	 Saturated Accuracy : 8.333333333333332 	 Number of times repeated 21
Cycle: 25 	 Saturated Accuracy : 8.333333333333332 	 Number of times repeated 22
Cycle: 26 	 Saturated Accuracy : 8.333333333333332 	 Number of times repeated 23
Cycle: 27 	 Saturated Accuracy : 8.333333333333332 	 Number of times repeated 24
Cycle: 28 	 Saturated Accuracy : 8.333333333333332 	 Number of times repeated 25
Cycle: 29 	 Saturated Accuracy : 8.333333333333332 	 Number of times repeated 26
Cycle: 30 	 Saturated Accuracy : 8.333333333333332 	 Number of times repeated 27
Cycle: 31 	 Saturated Accuracy : 8.333333333333332 	 Number of times repeated 28
Cycle: 32 	 Saturated Accuracy : 8.333333333333332 	 Number of times repeated 29
Cycle: 33 	 Saturated Accuracy : 8.333333333333332 	 Number of times repeated 30
Cycle: 34 	 Saturated Accuracy : 8.333333333333332 	 Number of times repeated 31
Cycle: 35 	 Saturated Accuracy : 8.333333333333332 	 Number of times repeated 32
Cycle: 36 	 Saturated Accuracy : 8.333333333333332 	 Number of times repeated 33
Cycle: 37 	 Saturated Accuracy : 8.333333333333332 	 Number of times repeated 34
Cycle: 38 	 Saturated Accuracy : 8.333333333333332 	 Number of times repeated 35
Cycle: 39 	 Saturated Accuracy : 8.333333333333332 	 Number of times repeated 36
Cycle: 40 	 Saturated Accuracy : 8.333333333333332 	 Number of times repeated 37
Cycle: 41 	 Saturated Accuracy : 8.333333333333332 	 Number of times repeated 38
Cycle: 42 	 Saturated Accuracy : 8.333333333333332 	 Number of times repeated 39
Cycle: 43 	 Saturated Accuracy : 8.333333333333332 	 Number of times repeated 40
Cycle: 44 	 Saturated Accuracy : 8.333333333333332 	 Number of times repeated 41
Cycle: 45 	 Saturated Accuracy : 8.333333333333332 	 Number of times repeated 42
Cycle: 46 	 Saturated Accuracy : 8.333333333333332 	 Number of times repeated 43
Cycle: 47 	 Saturated Accuracy : 8.333333333333332 	 Number of times repeated 44
Cycle: 48 	 Saturated Accuracy : 8.333333333333332 	 Number of times repeated 45
Cycle: 49 	 Saturated Accuracy : 8.333333333333332 	 Number of times repeated 46
****Sequence Ending*****
******Sequence Starting*****
cycle : 0 	 Accuracy :4.166666666666666 	 
cycle : 1 	 Accuracy :0 	 
cycle : 2 	 Accuracy :8.333333333333332 	 
Cycle: 3 	 Saturated Accuracy : 8.333333333333332 	 Number of times repeated 1
Cycle: 4 	 Saturated Accuracy : 8.333333333333332 	 Number of times repeated 2
Cycle: 5 	 Saturated Accuracy : 8.333333333333332 	 Number of times repeated 3
Cycle: 6 	 Saturated Accuracy : 8.333333333333332 	 Number of times repeated 4
Cycle: 7 	 Saturated Accuracy : 8.333333333333332 	 Number of times repeated 5
Cycle: 8 	 Saturated Accuracy : 8.333333333333332 	 Number of times repeated 6
Cycle: 9 	 Saturated Accuracy : 8.333333333333332 	 Number of times repeated 7
cycle : 10 	 Accuracy :0 	 
cycle : 11 	 Accuracy :8.333333333333332 	 
cycle : 12 	 Accuracy :4.166666666666666 	 
Cycle: 13 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 1
Cycle: 14 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 2
Cycle: 15 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 3
Cycle: 16 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 4
cycle : 17 	 Accuracy :8.333333333333332 	 
cycle : 18 	 Accuracy :4.166666666666666 	 
Cycle: 19 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 1
Cycle: 20 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 2
Cycle: 21 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 3
cycle : 22 	 Accuracy :8.333333333333332 	 
cycle : 23 	 Accuracy :4.166666666666666 	 
Cycle: 24 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 1
Cycle: 25 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 2
Cycle: 26 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 3
Cycle: 27 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 4
cycle : 28 	 Accuracy :8.333333333333332 	 
cycle : 29 	 Accuracy :4.166666666666666 	 
Cycle: 30 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 1
Cycle: 31 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 2
Cycle: 32 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 3
cycle : 33 	 Accuracy :8.333333333333332 	 
cycle : 34 	 Accuracy :4.166666666666666 	 
Cycle: 35 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 1
Cycle: 36 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 2
Cycle: 37 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 3
Cycle: 38 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 4
cycle : 39 	 Accuracy :8.333333333333332 	 
cycle : 40 	 Accuracy :4.166666666666666 	 
Cycle: 41 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 1
Cycle: 42 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 2
Cycle: 43 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 3
cycle : 44 	 Accuracy :8.333333333333332 	 
cycle : 45 	 Accuracy :4.166666666666666 	 
Cycle: 46 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 1
Cycle: 47 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 2
Cycle: 48 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 3
Cycle: 49 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 4
****Sequence Ending*****
******Sequence Starting*****
cycle : 0 	 Accuracy :8.333333333333332 	 
Cycle: 1 	 Saturated Accuracy : 8.333333333333332 	 Number of times repeated 1
Cycle: 2 	 Saturated Accuracy : 8.333333333333332 	 Number of times repeated 2
cycle : 3 	 Accuracy :4.166666666666666 	 
cycle : 4 	 Accuracy :12.5 	 
cycle : 5 	 Accuracy :8.333333333333332 	 
cycle : 6 	 Accuracy :12.5 	 
cycle : 7 	 Accuracy :8.333333333333332 	 
cycle : 8 	 Accuracy :12.5 	 
cycle : 9 	 Accuracy :8.333333333333332 	 
Cycle: 10 	 Saturated Accuracy : 8.333333333333332 	 Number of times repeated 1
cycle : 11 	 Accuracy :0 	 
cycle : 12 	 Accuracy :0 	 
cycle : 13 	 Accuracy :4.166666666666666 	 
cycle : 14 	 Accuracy :12.5 	 
cycle : 15 	 Accuracy :8.333333333333332 	 
cycle : 16 	 Accuracy :12.5 	 
cycle : 17 	 Accuracy :8.333333333333332 	 
cycle : 18 	 Accuracy :12.5 	 
cycle : 19 	 Accuracy :8.333333333333332 	 
cycle : 20 	 Accuracy :4.166666666666666 	 
Cycle: 21 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 1
cycle : 22 	 Accuracy :0 	 
cycle : 23 	 Accuracy :4.166666666666666 	 
cycle : 24 	 Accuracy :12.5 	 
cycle : 25 	 Accuracy :8.333333333333332 	 
cycle : 26 	 Accuracy :12.5 	 
cycle : 27 	 Accuracy :8.333333333333332 	 
cycle : 28 	 Accuracy :12.5 	 
cycle : 29 	 Accuracy :8.333333333333332 	 
cycle : 30 	 Accuracy :4.166666666666666 	 
cycle : 31 	 Accuracy :0 	 
cycle : 32 	 Accuracy :4.166666666666666 	 
Cycle: 33 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 1
cycle : 34 	 Accuracy :12.5 	 
cycle : 35 	 Accuracy :8.333333333333332 	 
cycle : 36 	 Accuracy :12.5 	 
cycle : 37 	 Accuracy :8.333333333333332 	 
cycle : 38 	 Accuracy :12.5 	 
cycle : 39 	 Accuracy :8.333333333333332 	 
cycle : 40 	 Accuracy :4.166666666666666 	 
cycle : 41 	 Accuracy :0 	 
cycle : 42 	 Accuracy :0 	 
cycle : 43 	 Accuracy :4.166666666666666 	 
cycle : 44 	 Accuracy :12.5 	 
cycle : 45 	 Accuracy :8.333333333333332 	 
cycle : 46 	 Accuracy :12.5 	 
cycle : 47 	 Accuracy :8.333333333333332 	 
cycle : 48 	 Accuracy :12.5 	 
cycle : 49 	 Accuracy :8.333333333333332 	 
****Sequence Ending*****
******Sequence Starting*****
Cycle: 0 	 Saturated Accuracy : 8.333333333333332 	 Number of times repeated 1
cycle : 1 	 Accuracy :4.166666666666666 	 
cycle : 2 	 Accuracy :0 	 
cycle : 3 	 Accuracy :4.166666666666666 	 
cycle : 4 	 Accuracy :0 	 
cycle : 5 	 Accuracy :12.5 	 
cycle : 6 	 Accuracy :8.333333333333332 	 
Cycle: 7 	 Saturated Accuracy : 8.333333333333332 	 Number of times repeated 1
Cycle: 8 	 Saturated Accuracy : 8.333333333333332 	 Number of times repeated 2
Cycle: 9 	 Saturated Accuracy : 8.333333333333332 	 Number of times repeated 3
cycle : 10 	 Accuracy :12.5 	 
cycle : 11 	 Accuracy :8.333333333333332 	 
cycle : 12 	 Accuracy :12.5 	 
cycle : 13 	 Accuracy :8.333333333333332 	 
cycle : 14 	 Accuracy :12.5 	 
Cycle: 15 	 Saturated Accuracy : 12.5 	 Number of times repeated 1
Cycle: 16 	 Saturated Accuracy : 12.5 	 Number of times repeated 2
cycle : 17 	 Accuracy :8.333333333333332 	 
cycle : 18 	 Accuracy :12.5 	 
cycle : 19 	 Accuracy :8.333333333333332 	 
cycle : 20 	 Accuracy :12.5 	 
Cycle: 21 	 Saturated Accuracy : 12.5 	 Number of times repeated 1
Cycle: 22 	 Saturated Accuracy : 12.5 	 Number of times repeated 2
Cycle: 23 	 Saturated Accuracy : 12.5 	 Number of times repeated 3
cycle : 24 	 Accuracy :8.333333333333332 	 
cycle : 25 	 Accuracy :12.5 	 
cycle : 26 	 Accuracy :8.333333333333332 	 
cycle : 27 	 Accuracy :12.5 	 
cycle : 28 	 Accuracy :8.333333333333332 	 
cycle : 29 	 Accuracy :12.5 	 
Cycle: 30 	 Saturated Accuracy : 12.5 	 Number of times repeated 1
Cycle: 31 	 Saturated Accuracy : 12.5 	 Number of times repeated 2
cycle : 32 	 Accuracy :8.333333333333332 	 
cycle : 33 	 Accuracy :12.5 	 
cycle : 34 	 Accuracy :8.333333333333332 	 
cycle : 35 	 Accuracy :12.5 	 
Cycle: 36 	 Saturated Accuracy : 12.5 	 Number of times repeated 1
Cycle: 37 	 Saturated Accuracy : 12.5 	 Number of times repeated 2
Cycle: 38 	 Saturated Accuracy : 12.5 	 Number of times repeated 3
cycle : 39 	 Accuracy :8.333333333333332 	 
cycle : 40 	 Accuracy :12.5 	 
cycle : 41 	 Accuracy :8.333333333333332 	 
cycle : 42 	 Accuracy :12.5 	 
cycle : 43 	 Accuracy :8.333333333333332 	 
cycle : 44 	 Accuracy :12.5 	 
Cycle: 45 	 Saturated Accuracy : 12.5 	 Number of times repeated 1
Cycle: 46 	 Saturated Accuracy : 12.5 	 Number of times repeated 2
cycle : 47 	 Accuracy :8.333333333333332 	 
cycle : 48 	 Accuracy :12.5 	 
cycle : 49 	 Accuracy :8.333333333333332 	 
****Sequence Ending*****
******Sequence Starting*****
cycle : 0 	 Accuracy :4.166666666666666 	 
cycle : 1 	 Accuracy :0 	 
cycle : 2 	 Accuracy :0 	 
cycle : 3 	 Accuracy :0 	 
cycle : 4 	 Accuracy :0 	 
cycle : 5 	 Accuracy :0 	 
cycle : 6 	 Accuracy :0 	 
cycle : 7 	 Accuracy :0 	 
cycle : 8 	 Accuracy :0 	 
cycle : 9 	 Accuracy :4.166666666666666 	 
Cycle: 10 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 1
Cycle: 11 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 2
cycle : 12 	 Accuracy :0 	 
cycle : 13 	 Accuracy :4.166666666666666 	 
cycle : 14 	 Accuracy :0 	 
cycle : 15 	 Accuracy :4.166666666666666 	 
cycle : 16 	 Accuracy :0 	 
cycle : 17 	 Accuracy :0 	 
cycle : 18 	 Accuracy :0 	 
cycle : 19 	 Accuracy :0 	 
cycle : 20 	 Accuracy :0 	 
cycle : 21 	 Accuracy :0 	 
cycle : 22 	 Accuracy :0 	 
cycle : 23 	 Accuracy :0 	 
cycle : 24 	 Accuracy :4.166666666666666 	 
Cycle: 25 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 1
Cycle: 26 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 2
cycle : 27 	 Accuracy :0 	 
cycle : 28 	 Accuracy :4.166666666666666 	 
cycle : 29 	 Accuracy :0 	 
cycle : 30 	 Accuracy :4.166666666666666 	 
cycle : 31 	 Accuracy :0 	 
cycle : 32 	 Accuracy :0 	 
cycle : 33 	 Accuracy :0 	 
cycle : 34 	 Accuracy :0 	 
cycle : 35 	 Accuracy :0 	 
cycle : 36 	 Accuracy :0 	 
cycle : 37 	 Accuracy :0 	 
cycle : 38 	 Accuracy :0 	 
cycle : 39 	 Accuracy :4.166666666666666 	 
Cycle: 40 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 1
Cycle: 41 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 2
cycle : 42 	 Accuracy :0 	 
cycle : 43 	 Accuracy :4.166666666666666 	 
cycle : 44 	 Accuracy :0 	 
cycle : 45 	 Accuracy :4.166666666666666 	 
cycle : 46 	 Accuracy :0 	 
cycle : 47 	 Accuracy :0 	 
cycle : 48 	 Accuracy :0 	 
cycle : 49 	 Accuracy :0 	 
****Sequence Ending*****
******Sequence Starting*****
cycle : 0 	 Accuracy :4.166666666666666 	 
Cycle: 1 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 1
Cycle: 2 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 2
Cycle: 3 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 3
Cycle: 4 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 4
Cycle: 5 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 5
Cycle: 6 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 6
Cycle: 7 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 7
Cycle: 8 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 8
Cycle: 9 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 9
cycle : 10 	 Accuracy :0 	 
cycle : 11 	 Accuracy :0 	 
cycle : 12 	 Accuracy :0 	 
cycle : 13 	 Accuracy :0 	 
cycle : 14 	 Accuracy :0 	 
cycle : 15 	 Accuracy :0 	 
cycle : 16 	 Accuracy :0 	 
cycle : 17 	 Accuracy :0 	 
cycle : 18 	 Accuracy :0 	 
cycle : 19 	 Accuracy :0 	 
cycle : 20 	 Accuracy :0 	 
cycle : 21 	 Accuracy :0 	 
cycle : 22 	 Accuracy :0 	 
cycle : 23 	 Accuracy :0 	 
cycle : 24 	 Accuracy :0 	 
cycle : 25 	 Accuracy :0 	 
cycle : 26 	 Accuracy :0 	 
cycle : 27 	 Accuracy :0 	 
cycle : 28 	 Accuracy :0 	 
cycle : 29 	 Accuracy :0 	 
cycle : 30 	 Accuracy :0 	 
cycle : 31 	 Accuracy :0 	 
cycle : 32 	 Accuracy :0 	 
cycle : 33 	 Accuracy :0 	 
cycle : 34 	 Accuracy :0 	 
cycle : 35 	 Accuracy :0 	 
cycle : 36 	 Accuracy :0 	 
cycle : 37 	 Accuracy :0 	 
cycle : 38 	 Accuracy :0 	 
cycle : 39 	 Accuracy :0 	 
cycle : 40 	 Accuracy :0 	 
cycle : 41 	 Accuracy :0 	 
cycle : 42 	 Accuracy :0 	 
cycle : 43 	 Accuracy :0 	 
cycle : 44 	 Accuracy :0 	 
cycle : 45 	 Accuracy :0 	 
cycle : 46 	 Accuracy :0 	 
cycle : 47 	 Accuracy :0 	 
cycle : 48 	 Accuracy :0 	 
cycle : 49 	 Accuracy :0 	 
****Sequence Ending*****
******Sequence Starting*****
cycle : 0 	 Accuracy :4.166666666666666 	 
Cycle: 1 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 1
Cycle: 2 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 2
Cycle: 3 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 3
Cycle: 4 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 4
Cycle: 5 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 5
Cycle: 6 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 6
Cycle: 7 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 7
Cycle: 8 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 8
Cycle: 9 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 9
cycle : 10 	 Accuracy :0 	 
cycle : 11 	 Accuracy :0 	 
cycle : 12 	 Accuracy :0 	 
cycle : 13 	 Accuracy :0 	 
cycle : 14 	 Accuracy :0 	 
cycle : 15 	 Accuracy :0 	 
cycle : 16 	 Accuracy :0 	 
cycle : 17 	 Accuracy :0 	 
cycle : 18 	 Accuracy :0 	 
cycle : 19 	 Accuracy :0 	 
cycle : 20 	 Accuracy :0 	 
cycle : 21 	 Accuracy :0 	 
cycle : 22 	 Accuracy :0 	 
cycle : 23 	 Accuracy :0 	 
cycle : 24 	 Accuracy :0 	 
cycle : 25 	 Accuracy :0 	 
cycle : 26 	 Accuracy :0 	 
cycle : 27 	 Accuracy :0 	 
cycle : 28 	 Accuracy :0 	 
cycle : 29 	 Accuracy :0 	 
cycle : 30 	 Accuracy :0 	 
cycle : 31 	 Accuracy :0 	 
cycle : 32 	 Accuracy :0 	 
cycle : 33 	 Accuracy :0 	 
cycle : 34 	 Accuracy :0 	 
cycle : 35 	 Accuracy :0 	 
cycle : 36 	 Accuracy :0 	 
cycle : 37 	 Accuracy :0 	 
cycle : 38 	 Accuracy :0 	 
cycle : 39 	 Accuracy :0 	 
cycle : 40 	 Accuracy :0 	 
cycle : 41 	 Accuracy :0 	 
cycle : 42 	 Accuracy :0 	 
cycle : 43 	 Accuracy :0 	 
cycle : 44 	 Accuracy :0 	 
cycle : 45 	 Accuracy :0 	 
cycle : 46 	 Accuracy :0 	 
cycle : 47 	 Accuracy :0 	 
cycle : 48 	 Accuracy :0 	 
cycle : 49 	 Accuracy :0 	 
****Sequence Ending*****
******Sequence Starting*****
cycle : 0 	 Accuracy :0 	 
cycle : 1 	 Accuracy :0 	 
cycle : 2 	 Accuracy :0 	 
cycle : 3 	 Accuracy :0 	 
cycle : 4 	 Accuracy :0 	 
cycle : 5 	 Accuracy :0 	 
cycle : 6 	 Accuracy :0 	 
cycle : 7 	 Accuracy :0 	 
cycle : 8 	 Accuracy :0 	 
cycle : 9 	 Accuracy :0 	 
cycle : 10 	 Accuracy :4.166666666666666 	 
Cycle: 11 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 1
Cycle: 12 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 2
Cycle: 13 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 3
Cycle: 14 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 4
Cycle: 15 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 5
Cycle: 16 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 6
Cycle: 17 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 7
Cycle: 18 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 8
Cycle: 19 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 9
Cycle: 20 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 10
